Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
Colville,Spring 2024,Feminine,Blue draped dress,"Patterned tote bag, hoop earrings, colorful necklace","Flowing, elegant","Chic, artistic","Rich textures, statement accessories",
Comme des Garçons,Spring 2024,Gender Neutral,Multicolored geometric print dress,"Purple bob wig, patterned sneakers","Voluminous, cocoon","Avant-garde, bold","Bright colors, oversized shapes",
Comme des Garçons,Spring 2024,Gender Neutral,"Layered printed dress, red belt","Red textured wig, colorful boots","Voluminous, oversized","Avant-garde, artistic","Renaissance-inspired print, pink accents",
Comme des Garçons,Spring 2024,Gender Neutral,Ruffled printed dress,"Yellow textured wig, colorful boots","Voluminous, oversized","Avant-garde, artistic","Plaid and floral mix, bold textures",
Commission,Spring 2024,Feminine,"Navy oversized blazer, striped shirt, wide-leg jeans",Brown leather bag,"Oversized, relaxed","Casual, androgynous",Layered look with contrasting textures,
Commission,Spring 2024,Masculine,"Cream oversized blazer, beige shirt, black wide-leg trousers",,"Boxy, relaxed","Minimalist, modern",Neutral tones with subtle detailing,
COS,Fall 2024,Feminine,Black draped dress,,"Flowy, asymmetrical","Minimalist, elegant","High slit, cape-like shoulder detail",
COS,Fall 2024,Feminine,Black sleeveless gown,,"Elegant, fluid","Minimalist, elegant","Contrasting inner lining, floor-length",
Comme des Garçons,Spring 2024,Gender Neutral,"Puffy printed dress, blue padded vest","Blue textured wig, colorful sneakers","Voluminous, oversized","Avant-garde, artistic","Renaissance-inspired print, bold colors",
Colville,Spring 2024,Feminine,"Orange dress, blue leggings","Geometric tote bag, hoop earrings","Relaxed, layered","Bold, eclectic","Bright color contrast, geometric patterns",
Colville,Spring 2024,Feminine,"Black oversized blazer, orange turtleneck, black pants","Color-blocked bag, gold earrings","Oversized, structured","Bold, contemporary",Vibrant color blocking with red background,
Colville,Spring 2024,Feminine,"Black blouse, black pants","Patterned bag, gold earrings","Relaxed, tailored","Effortless, sophisticated",Geometric patterns on accessories,
Colville,Fall 2024,Feminine,Patchwork knit dress,Colorful earrings,"Asymmetrical, flowing","Eclectic, artsy",Movement-focused design,
Colville,Fall 2024,Feminine,"Brown ruched dress, black underlayer","Tote bag, colorful earrings","Fitted, draped","Elegant, modern",Contrasting textures and colors,
Colville,Spring 2024,Feminine,Black and white patterned dress,Color-blocked bag,"Flowy, oversized","Bold, graphic",Monochrome pattern with a pop of color,
Colville,Spring 2024,Feminine,Black and orange color-blocked dress,"Patterned bucket bag, color-blocked mini bag, statement shoes","Asymmetrical, relaxed","Eclectic, vibrant",Mix of textures and patterns,
Tanya Taylor,Fall 2024,Feminine,"Green sequin top, brown satin skirt",Pearl earrings,"Flowy, asymmetrical","Glamorous, eclectic",Mix of textures with sequins and satin,
Tanya Taylor,Fall 2024,Feminine,"Chunky knit turtleneck sweater, gray skirt",Black boots,"A-line, voluminous","Cozy, elegant",Textured knit with a sleek skirt,
Tanya Taylor,Fall 2024,Feminine,"Brown shearling vest, denim shirt, white boots",,"Layered, oversized","Casual, textured",Playful use of shearling with denim,
Tanya Taylor,Fall 2024,Feminine,Light blue slip dress,,"Slim, flowing","Minimalist, chic",Simple and elegant design,
Tanya Taylor,Fall 2024,Feminine,"Brown suede coat, denim shirt, blue skirt","Striped scarf, brown clutch","Layered, oversized","Casual, layered",Mix of textures and patterns,
Tanya Taylor,Fall 2024,Feminine,"Strapless plaid top with floral embellishments, black pleated skirt",,"Fitted bodice, flowing skirt","Elegant, evening wear",Intricate floral details on top,
Tanya Taylor,Fall 2024,Feminine,"Tan coat, gray turtleneck sweater, plaid skirt",Black shoes,"Layered, cozy","Casual, stylish","Textured knit, plaid pattern",
Tanya Taylor,Fall 2024,Feminine,"Black coat with embroidery, tan knit sweater",Black boots,"Long, structured","Chic, modern",Floral embroidery on coat,
Tanya Taylor,Fall 2024,Feminine,"Polka dot off-shoulder top, gray wide-leg trousers",,"Loose, flowing","Playful, elegant","Off-shoulder design, polka dot pattern",
Colville,Spring 2024,Feminine,"Black off-shoulder top, orange skirt","Color-blocked bag, statement heels","Structured top, flowing skirt","Chic, modern",Bold color contrast with dynamic silhouette,
Colville,Spring 2024,Feminine,"Black dress, purple turtleneck","Striped bag, gold earrings","Flowing, relaxed","Chic, modern",Bold color contrast with background,
COS,Fall 2024,Feminine,Black textured dress,Black belt,"Straight, fitted","Chic, modern","Textured fabric, minimal accessories",
Genny,Spring 2024,Feminine,Metallic draped gown,Layered floral necklaces,"Flowy, relaxed","Ethereal, elegant","Deep V-neck, fluid movement",
Shiatzy Chen,Fall 2024,Masculine,"White embroidered jacket, textured trousers",Black shoes,"Boxy, relaxed","Minimalist, sophisticated","Textured fabric, subtle detailing",
Shiatzy Chen,Fall 2024,Feminine,"Purple embroidered coat, black shorts","Black knee-high socks, embellished shoes","Long, tailored","Elegant, artistic",Intricate floral embroidery,
Kozaburo,Fall 2024,Masculine,"Textured cardigan, wide-leg pants",Glasses,"Loose, oversized","Casual, textured","Chunky knit, relaxed fit",
Kozaburo,Fall 2024,Masculine,"Velvet suit, plaid shirt",Sunglasses,"Tailored, fitted","Retro, luxurious","Rich texture, dark green velvet",
Kozaburo,Fall 2024,Masculine,"Denim shirt, denim pants","Cowboy hat, belt","Relaxed, straight","Western, denim-on-denim","Contrasting denim shades, cowboy influence",
Atelier Prabal Gurung,Fall 2024,Feminine,Red strapless gown,,"Dramatic, flowing","Elegant, bold",Features a large rose detail on the waist,
Atelier Prabal Gurung,Fall 2024,Feminine,Light blue strapless gown,Black sheer gloves,"Fitted, mermaid","Sophisticated, sleek",Ruched detailing adds texture,
Atelier Prabal Gurung,Fall 2024,Feminine,"Red draped gown, light blue one-shoulder gown",Red heels,"Draped, fluid","Glamorous, modern",Contrasting colors and asymmetrical designs,
Ashley Williams,Fall 2024,Feminine,Printed sleeveless dress,"Black cap, animal-shaped clutch, boots","Loose, flowing","Quirky, eclectic","Playful prints, mixed patterns",
Atelier Prabal Gurung,Fall 2024,Feminine,Gold embellished gown,,"Fitted, flowing","Elegant, glamorous","Intricate beadwork, sheer overlay",
Atelier Prabal Gurung,Fall 2024,Feminine,Black and white strapless gown,Black sheer gloves,"Fitted, flowing","Classic, chic","Dramatic train, contrast bodice",
Atelier Prabal Gurung,Fall 2024,Feminine,"Strapless tiered gown, polka dot tulle",Black gloves,"Voluminous, layered","Romantic, ethereal","Soft texture, vintage-inspired",
Atelier Prabal Gurung,Fall 2024,Feminine,Red structured gown,Ankle strap heels,"Dramatic, full-skirted","Elegant, bold","Rich color, fitted bodice",
Atelier Prabal Gurung,Fall 2024,Feminine,"Blue draped gown, pink draped gown",,"Flowing, Grecian","Sophisticated, fluid","Asymmetrical draping, soft pleats",
Atlein,Spring 2024,Feminine,"Black lace bralette, black cropped pants",,"Fitted, cropped","Minimalist, sleek",Knot details on pants,
Atlein,Spring 2024,Feminine,Black off-shoulder ruched dress,,"Fitted, short","Elegant, modern","Ruched texture, off-shoulder design",
Atelier Prabal Gurung,Fall 2024,Feminine,Black embellished gown,,Fitted,"Sophisticated, dramatic","High neckline, intricate detailing",
Atlein,Spring 2024,Feminine,Black sheer patterned dress,,"Flowing, long","Dramatic, bold","Sheer fabric, intricate pattern",
Ashley Williams,Fall 2024,Feminine,"Mesh bodysuit, printed leggings","White cap, platform sandals","Slim, fitted","Edgy, futuristic","Graphic prints, contrasting textures",
Ashley Williams,Fall 2024,Feminine,"Blue floral sweater with fur collar, printed skirt","Pink cap, printed tote bag, pink boots","Oversized, relaxed","Quirky, cozy","Contrasting patterns, bold accessories",
Duran Lantink,Spring 2024,Feminine,"Denim jacket, denim skirt","Aviator sunglasses, brown boots",Voluminous,"Denim, structured",Exaggerated proportions,
Duran Lantink,Spring 2024,Masculine,Denim briefs,Brown boots,Minimal,"Avant-garde, bold",Playful use of denim,
Duran Lantink,Spring 2024,Feminine,Floral bikini,Brown boots,"Slim, minimal","Bold, youthful","Off-shoulder design, floral print",
Duran Lantink,Spring 2024,Feminine,"Sheer dress, floral underwear",White boots,"Flowy, ethereal","Romantic, delicate","Lace details, sheer fabric",
Duran Lantink,Spring 2024,Feminine,Floral bodysuit,Brown boots,"Fitted, sculptural","Playful, avant-garde","Padded shoulders, floral pattern",
Duran Lantink,Spring 2024,Feminine,White lace dress,White boots,"Flowy, ethereal","Romantic, elegant","Lace detailing, soft silhouette",
Ashley Williams,Fall 2024,Feminine,Black ruffled dress,"Heart-shaped bag, black cap, platform sandals","Voluminous, layered","Playful, avant-garde","Textured ruffles, monochrome look",
Duran Lantink,Spring 2024,Feminine,"Floral padded top, floral mini skirt",Brown boots,"Boxy, fitted","Eclectic, modern","Padded shoulders, asymmetrical skirt",
K Krizia,Spring 2024,Feminine,Black strappy dress,None visible,Bodycon,"Minimalist, sleek","Cut-out details, fitted design",
K Krizia,Spring 2024,Feminine,"White graphic top, black skirt","Sunglasses, earrings","Slim, straight","Graphic, modern","Animal print, monochrome",
K Krizia,Spring 2024,Feminine,Pleated asymmetrical dress,None visible,"Fitted, asymmetrical","Elegant, textured","Ruffled details, metallic sheen",
K Krizia,Spring 2024,Feminine,"Black asymmetrical crop top, textured black pants",,"Cut-out, fitted","Edgy, minimalist",Asymmetrical cut-out design,
K Krizia,Spring 2024,Feminine,Black halter dress with graphic print,Black sunglasses,"Sleek, elongated","Chic, contemporary",Graphic animal print detail,
K Krizia,Spring 2024,Feminine,"White sculptural top, black leggings",Silver ear cuff,"Asymmetrical, fitted","Modern, architectural",Unique pleated design on top,
Duran Lantink,Spring 2024,Feminine,Floral padded mini dress,Black boots,"Hourglass, structured","Playful, bold","Padded texture, floral pattern",
Duran Lantink,Spring 2024,Masculine,"Black vest, padded skirt",Brown boots,Bulky,"Experimental, modern",Contrasting textures,
Atlein,Spring 2024,Feminine,"Sheer black top, patterned black shorts",Black strappy heels,"Fitted, sheer","Edgy, modern","Sheer layering, minimal accessories",
Kozaburo,Fall 2024,Androgynous,"Black jacket, black shirt, black pants",Sunglasses,"Tailored, relaxed","Monochrome, edgy","All-black look, urban vibe",
Valentino,Fall 2024,Feminine,Sheer lace dress,Feathered handbag,Straight,"Edgy, bold","High neck, sheer fabric",
Valentino,Fall 2024,Feminine,"Black lace top, layered skirt",,Voluminous,"Romantic, gothic","Sheer lace, layered textures",
Valentino,Fall 2024,Feminine,Black cut-out dress,,Flowing,"Elegant, minimal","Deep V-neck, long sleeves",
Valentino,Fall 2024,Feminine,"Black cape, sheer top, wide-leg trousers",Black handbag,"Flowing, layered","Chic, sophisticated","Cape detail, monochrome layering",
Valentino,Fall 2024,Feminine,"Sheer black blouse, full black skirt","Sunglasses, black lipstick","A-line, voluminous","Dramatic, avant-garde","Sheer fabric, bold styling",
Valentino,Fall 2024,Feminine,"Black tailored coat, sheer blouse","Black clutch, black lipstick","Structured, longline","Elegant, gothic","Strong shoulders, monochrome",
Naeem Khan,Fall 2024,Feminine,Sheer purple gown with cut-out neckline,None visible,"Body-hugging, sleek","Bold, daring",Sheer fabric with subtle sparkle,
Valentino,Fall 2024,Feminine,Black dress with floral sleeve details,"Large hoop earrings, black clutch","Straight, structured","Elegant, statement",Floral embellishments on sleeves,
Valentino,Fall 2024,Feminine,"Black structured blazer, black shorts","Large hoop earrings, black clutch","Tailored, sleek","Monochrome, bold",Strong shoulder emphasis,
Bach Mai,Spring 2024,Feminine,"Black structured jacket, black wide-leg pants",Silver necklace,"Dramatic, layered","Avant-garde, edgy","High collar, asymmetrical design",
Bach Mai,Spring 2024,Feminine,Black sheer embroidered gown,Glasses,"Straight, flowing","Elegant, sophisticated","Floral embroidery, sheer fabric",
Bach Mai,Spring 2024,Feminine,"Black sleeveless vest, black pleated skirt",Hoop earrings,"A-line, fitted","Modern, chic","Shiny fabric, high slit",
Bach Mai,Spring 2024,Feminine,"Sheer floral print top, black pants",Earrings,"Flowy, relaxed","Ethereal, modern","Sheer fabric, abstract floral pattern",
Bach Mai,Spring 2024,Feminine,"Black sequined top, black pants",Long black gloves,"Fitted, sleek","Glamorous, edgy","Sequined texture, cut-out details",
Valentino,Fall 2024,Feminine,Black mini dress,"Black clutch, bracelet","A-line, flared","Chic, minimalist",Glossy black lips,
Atlein,Spring 2024,Feminine,"Orange twisted crop top, black high-slit skirt",Black heels,"Fitted, asymmetrical","Chic, contemporary","Bold color contrast, twisted fabric detail",
Naeem Khan,Fall 2024,Feminine,Sequined gown with long sleeves,Small hoop earrings,"Form-fitting, structured","Dramatic, sparkling",Diagonal sequin pattern,
Naeem Khan,Fall 2024,Feminine,Sequined jumpsuit with high neck,Black heels,"Relaxed, fluid","Disco, retro","Chevron pattern, vibrant colors",
Kozaburo,Fall 2024,Androgynous,"Brown shearling jacket, green dress, black pants",Orange shoes,"Layered, oversized","Eclectic, streetwear","Contrasting textures, bold footwear",
Kozaburo,Fall 2024,Androgynous,"Black jacket, patterned turtleneck, black skirt, black pants",,"Layered, relaxed","Dark, urban","Mix of textures, night setting",
Kozaburo,Fall 2024,Androgynous,"Black hoodie, plaid shirt, wide-leg pants",,"Layered, oversized","Grunge, casual","Contrast of plaid with solid black, relaxed fit",
Kozaburo,Fall 2024,Androgynous,"Denim jacket, dark skirt, wide-leg jeans",,"Layered, relaxed","Casual, streetwear",Denim on denim with a layered approach,
Kozaburo,Fall 2024,Androgynous,"Black oversized coat, black wide-leg pants",,"Oversized, relaxed","Minimalist, urban",Monochrome look with a focus on texture,
Naeem Khan,Fall 2024,Feminine,"Red cropped feathered top, red high-waisted trousers",,"Structured, voluminous","Bold, textured","Feather detailing, monochrome",
Naeem Khan,Fall 2024,Feminine,Purple gown with feathered cape,None visible,"Flowing, elegant","Glamorous, sophisticated",Feather detailing on shoulders,
Naeem Khan,Fall 2024,Feminine,Black and pink floral gown with sheer elements,,"Flowy, dramatic","Floral, sheer",Long sleeves with flowing extensions,
Atlein,Spring 2024,Feminine,Orange one-shoulder dress,Black heels,"Fitted, draped","Elegant, sophisticated","Pleated texture, asymmetrical neckline",
